id,name,rate
1001,"Autauga County, Alabama",474
1003,"Baldwin County, Alabama",4106
1005,"Barbour County, Alabama",501
1007,"Bibb County, Alabama",190
1009,"Blount County, Alabama",1802
1011,"Bullock County, Alabama",387
1013,"Butler County, Alabama",45
1015,"Calhoun County, Alabama",1993
1017,"Chambers County, Alabama",279
1019,"Cherokee County, Alabama",62
1021,"Chilton County, Alabama",1779
1023,"Choctaw County, Alabama",9
1025,"Clarke County, Alabama",73
1027,"Clay County, Alabama",280
1029,"Cleburne County, Alabama",154
1031,"Coffee County, Alabama",1276
1033,"Colbert County, Alabama",717
1035,"Conecuh County, Alabama",89
1037,"Coosa County, Alabama",179
1039,"Covington County, Alabama",134
1041,"Crenshaw County, Alabama",180
1043,"Cullman County, Alabama",1495
1045,"Dale County, Alabama",726
1047,"Dallas County, Alabama",153
1049,"DeKalb County, Alabama",4255
1051,"Elmore County, Alabama",1090
1053,"Escambia County, Alabama",102
1055,"Etowah County, Alabama",1893
1057,"Fayette County, Alabama",45
1059,"Franklin County, Alabama",2061
1061,"Geneva County, Alabama",577
1063,"Greene County, Alabama",0
1065,"Hale County, Alabama",36
1067,"Henry County, Alabama",216
1069,"Houston County, Alabama",1228
1071,"Jackson County, Alabama",655
1073,"Jefferson County, Alabama",18015
1075,"Lamar County, Alabama",77
1077,"Lauderdale County, Alabama",907
1079,"Lawrence County, Alabama",142
1081,"Lee County, Alabama",6338
1083,"Limestone County, Alabama",2157
1085,"Lowndes County, Alabama",16
1087,"Macon County, Alabama",83
1089,"Madison County, Alabama",9594
1091,"Marengo County, Alabama",200
1093,"Marion County, Alabama",35
1095,"Marshall County, Alabama",6222
1097,"Mobile County, Alabama",6834
1099,"Monroe County, Alabama",0
1101,"Montgomery County, Alabama",6608
1103,"Morgan County, Alabama",4671
1105,"Perry County, Alabama",16
1107,"Pickens County, Alabama",191
1109,"Pike County, Alabama",889
1111,"Randolph County, Alabama",247
1113,"Russell County, Alabama",625
1115,"St. Clair County, Alabama",781
1117,"Shelby County, Alabama",7529
1119,"Sumter County, Alabama",184
1121,"Talladega County, Alabama",1015
1123,"Tallapoosa County, Alabama",318
1125,"Tuscaloosa County, Alabama",4706
1127,"Walker County, Alabama",646
1129,"Washington County, Alabama",55
1131,"Wilcox County, Alabama",0
1133,"Winston County, Alabama",185
2013,"Aleutians East Borough, Alaska",1026
2016,"Aleutians West Census Area, Alaska",1212
2020,"Anchorage Municipality, Alaska",12926
2050,"Bethel Census Area, Alaska",153
2060,"Bristol Bay Borough, Alaska",5
2068,"Denali Borough, Alaska",120
2070,"Dillingham Census Area, Alaska",34
